Protein IDs,Protein names,Gene,Intensity
Q8BH43;Q8R5H6,Wiskott-Aldrich syndrome protein family member 2,Wasf2,116740000
Q8BH55,Threonine synthase-like 1,Thnsl1,11583000
Q8BH57-3;Q8BH57-2;Q8BH57,WD repeat-containing protein 48,Wdr48,7862200
Q8BH58,TIP41-like protein,Tiprl,91194000
Q8BH59,Calcium-binding mitochondrial carrier protein Aralar1,Slc25a12,138720000
Q8BH60-2;Q8BH60,Golgi-associated PDZ and coiled-coil motif-containing protein,Gopc,67441000
Q8BH61,Coagulation factor XIII A chain,F13a1,26598000
Q8BH64,EH domain-containing protein 2,Ehd2,39470000
Q8BH69,"Selenide, water dikinase 1",Sephs1,261680000
Q8BH74,Nuclear pore complex protein Nup107,Nup107,18317000
Q8BH86;Q8BH86-2,"UPF0317 protein C14orf159 homolog, mitochondrial",,1398000000
Q8BH95,"Enoyl-CoA hydratase, mitochondrial",Echs1,25609000000
Q8BH97,Reticulocalbin-3,Rcn3,6626000
Q8BHC0,Lymphatic vessel endothelial hyaluronic acid receptor 1,Lyve1,7842900
Q8BHD7-2;Q8BHD7,Polypyrimidine tract-binding protein 3,Ptbp3,98002000
Q8BHE8,"Uncharacterized protein C2orf47 homolog, mitochondrial",,7778900
Q8BHG1,Nardilysin,Nrd1,125710000
Q8BHG2;Q8BHG2-2;Q8BHG2-3,UPF0587 protein C1orf123 homolog,,176860000
Q8BHG9,CGG triplet repeat-binding protein 1,Cggbp1,11972000
Q8BHI7,Elongation of very long chain fatty acids protein 5,Elovl5,24689000
Q8BHJ5,F-box-like/WD repeat-containing protein TBL1XR1,Tbl1xr1,4047300
Q8BPU7-4;Q8BPU7-2;Q8BHL5-2;Q8BPU7;Q8BHL5;Q8BHL5-3,Engulfment and cell motility protein 1;Engulfment and cell motility protein 2,Elmo1;Elmo2,9191000
Q8BHL8,Proteasome inhibitor PI31 subunit,Psmf1,94142000
Q8BHN1-2;Q8BHN1-3;Q8BHN1,Gamma-taxilin,Txlng,6947800
Q8BHN3-2;Q8BHN3;Q8BHN3-3,Neutral alpha-glucosidase AB,Ganab,3114700000
Q8BHS3,Pre-mRNA-splicing factor RBM22,Rbm22,24657000
Q8BHZ0,Protein FAM49A,Fam49a,6758600
Q8BI08,Protein MAL2,Mal2,33844000
Q8BI72,CDKN2A-interacting protein,Cdkn2aip,31739000
Q8BI84;Q8BI84-2;Q8BI84-3,Melanoma inhibitory activity protein 3,Mia3,580160000
Q8BIJ6,"Isoleucine--tRNA ligase, mitochondrial",Iars2,1004300000
Q8BIJ7,RUN and FYVE domain-containing protein 1,Rufy1,32176000
Q8BIL5-2;Q8BIL5,Protein Hook homolog 1,Hook1,2339200
Q8BIQ3,Zinc finger protein 2,Znf2,25172000
Q8BIQ5;Q8BIQ5-2;Q8C7E9,Cleavage stimulation factor subunit 2,Cstf2,49593000
Q8BIW1,Protein prune homolog,Prune,86609000
Q8BJ03-2;Q8BJ03,Cytochrome c oxidase assembly protein COX15 homolog,Cox15,20141000
Q8BJ05-2;Q8BJ05-3;Q8BJ05,Zinc finger CCCH domain-containing protein 14,Zc3h14,2151700
Q8BJ64,"Choline dehydrogenase, mitochondrial",Chdh,3882000000
Q8BJ71-2;Q8BJ71,Nuclear pore complex protein Nup93,Nup93,130490000
Q8BJF9,Charged multivesicular body protein 2b,Chmp2b,55323000
Q8BJS4-3;Q8BJS4-2;Q8BJS4,SUN domain-containing protein 2,Sun2,5992600
Q8BJU0-2;Q8BJU0,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,Sgta,183180000
Q8BJU2,Tetraspanin-9,Tspan9,20402000
Q8BJW6;Q8BJW6-2,"Eukaryotic translation initiation factor 2A;Eukaryotic translation initiation factor 2A, N-terminally processed",Eif2a,317460000
Q8BJY1,26S proteasome non-ATPase regulatory subunit 5,Psmd5,327300000
Q8BJZ4,"28S ribosomal protein S35, mitochondrial",Mrps35,22829000
Q8BK03;Q8BK03-2,Protein FAM73B,Fam73b,34565000
Q8BK08,"Transmembrane protein 11, mitochondrial",Tmem11,68890000
Q8BK30,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",Ndufv3,1150900000
Q8BK48;Q6AW46,Pyrethroid hydrolase Ces2e,Ces2e,4391900000
Q8BK63-2;Q8BK63,Casein kinase I isoform alpha,Csnk1a1,25868000
Q8BK64,Activator of 90 kDa heat shock protein ATPase homolog 1,Ahsa1,971160000
Q8BK67,Protein RCC2,Rcc2,31178000
Q8BK72,"28S ribosomal protein S27, mitochondrial",Mrps27,108310000
Q8BKC5;Q8BKC5-2,Importin-5,Ipo5,184560000
Q8BKE6,Cytochrome P450 20A1,Cyp20a1,54832000
Q8BKI2;Q8BKI2-2,Trinucleotide repeat-containing gene 6B protein,Tnrc6b,10505000
Q8BKR5,Protein phosphatase 1 regulatory subunit 37,Ppp1r37,1931900
Q8BKT7,THO complex subunit 5 homolog,Thoc5,14837000
Q8BKX1-4;Q8BKX1-3;Q8BKX1-2;Q8BKX1,Brain-specific angiogenesis inhibitor 1-associated protein 2,Baiap2,115710000
Q8BKY8,"Transcription termination factor 2, mitochondrial",Mterf2,0
Q8BKZ9,"Pyruvate dehydrogenase protein X component, mitochondrial",Pdhx,346500000
Q8BL66,Early endosome antigen 1,Eea1,592990000
Q8BL74,General transcription factor 3C polypeptide 2,Gtf3c2,14486000
Q8BL86,Metallo-beta-lactamase domain-containing protein 2,Mblac2,3478800
Q8BL97-2;Q8BL97;Q8BL97-3;Q8BL97-4,Serine/arginine-rich splicing factor 7,Srsf7,254190000
Q8BLF1,Neutral cholesterol ester hydrolase 1,Nceh1,41905000
Q8BLN5,Lanosterol synthase,Lss,140600000
Q8BLY2,"Probable threonine--tRNA ligase 2, cytoplasmic",Tarsl2,24196000
Q8BM55;Q8BM55-3;Q8BM55-2,Transmembrane protein 214,Tmem214,95419000
Q8BM72;Q8BM72-2,Heat shock 70 kDa protein 13,Hspa13,15938000
Q8BM88,Cathepsin O,Ctso,15464000
Q8BMA6,Signal recognition particle subunit SRP68,Srp68,603540000
Q8BMB3,Eukaryotic translation initiation factor 4E type 2,Eif4e2,15402000
Q8BMD8,Calcium-binding mitochondrial carrier protein SCaMC-1,Slc25a24,8573900
Q8BMF4,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",Dlat,3144100000
Q8BMG7;Q8BMG7-2,Rab3 GTPase-activating protein non-catalytic subunit,Rab3gap2,20518000
Q8BMJ2,"Leucine--tRNA ligase, cytoplasmic",Lars,613180000
Q8BMJ3;Q60872,"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A",Eif1ax;Eif1a,604210000
Q8BMK4,Cytoskeleton-associated protein 4,Ckap4,28211000
Q8BML9,,Qars,810050000
Q8BMP6,Golgi resident protein GCP60,Acbd3,51760000
Q8BMQ2;Q8BMQ2-3;Q8BMQ2-2,General transcription factor 3C polypeptide 4,Gtf3c4,2779800
Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase",Hadha,36168000000
Q8BMS4,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",Coq3,218560000
Q8BMZ5-2;Q8BMZ5,tRNA-splicing endonuclease subunit Sen34,Tsen34,1751400
Q8BNU0-2;Q8BNU0,Armadillo repeat-containing protein 6,Armc6,6333400
Q8BNV1,tRNA (uracil-5-)-methyltransferase homolog A,Trmt2a,13633000
Q8BNX1,C-type lectin domain family 4 member G,Clec4g,7225100
Q8BP40,Lysophosphatidic acid phosphatase type 6,Acp6,393760000
Q8BP47,"Asparagine--tRNA ligase, cytoplasmic",Nars,790370000
Q8BP48,Methionine aminopeptidase 1,Metap1,130010000
Q8BP56;Q8BP56-3;Q8BP56-2,Acid trehalase-like protein 1,Athl1,72255000
Q8BP67,60S ribosomal protein L24,Rpl24,1172500000
Q8BP92,Reticulocalbin-2,Rcn2,63993000
Q8BPB0;Q921Y0-2;Q921Y0,MOB kinase activator 1B;MOB kinase activator 1A,Mob1b;Mob1a,64770000
Q8BPM0-3;Q8BPM0-2;Q8BPM0,Disheveled-associated activator of morphogenesis 1,Daam1,1084400
Q8BQ47,Protein canopy homolog 4,Cnpy4,33946000
Q8BQM4,HEAT repeat-containing protein 3,Heatr3,6452200
Q8BQZ5;Q8BQZ5-3;Q8BQZ5-2,Cleavage and polyadenylation specificity factor subunit 4,Cpsf4,1394100
Q8BR90-2;Q8BR90,UPF0600 protein C5orf51 homolog,,13030000
Q8BRF7;Q8BRF7-3;Q8BRF7-2,Sec1 family domain-containing protein 1,Scfd1,294810000
Q8BRK8,5-AMP-activated protein kinase catalytic subunit alpha-2,Prkaa2,287270000
Q8BRN9,Coiled-coil and C2 domain-containing protein 1B,Cc2d1b,4125000
Q8BRT1;Q8BRT1-5;Q8BRT1-6,CLIP-associating protein 2,Clasp2,7911200
Q8BRV5,Uncharacterized protein KIAA1671,Kiaa1671,37215000
Q8BSE0,Regulator of microtubule dynamics protein 2,Rmdn2,678060000
Q8BSF4,Phosphatidylserine decarboxylase proenzyme;Phosphatidylserine decarboxylase alpha chain;Phosphatidylserine decarboxylase beta chain,Pisd,12346000
Q8BSM7,Large neutral amino acids transporter small subunit 3,Slc43a1,20847000
Q8BSS9;P60469-2;P60469,Liprin-alpha-2;Liprin-alpha-3,Ppfia2;Ppfia3,6137900
Q8BSY0;Q8BSY0-2,Aspartyl/asparaginyl beta-hydroxylase,Asph,242090000
Q8BT60;Q1RLL3;Q9Z140;Q8BLR2;Q0VE82;Q9DC53;Q8JZW4,Copine-3,Cpne3,950830000
Q8BTI8-3;Q8BTI8-2;Q8BTI8,Serine/arginine repetitive matrix protein 2,Srrm2,372490000
Q8BTI9,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Pik3cb,2609900
Q8BTJ4-2;Q8BTJ4,Bis(5-adenosyl)-triphosphatase enpp4,Enpp4,29172000
Q8BTM8;Q8BTM8-2,Filamin-A,Flna,1097500000
Q8BTR5,Dual specificity phosphatase 28,Dusp28,4036900
Q8BTS4,Nuclear pore complex protein Nup54,Nup54,29454000
Q8BTV2-2;Q8BTV2;Q8BTV2-3,Cleavage and polyadenylation specificity factor subunit 7,Cpsf7,9180700
Q8BTW3,Exosome complex component MTR3,Exosc6,3653800
Q8BTY1,Kynurenine--oxoglutarate transaminase 1,Ccbl1,1782800000
Q8BTY8-2;Q8BTY8;Q8BTY8-3;Q8BTY8-4,Sec1 family domain-containing protein 2,Scfd2,14282000
Q8BTZ5,Ankyrin repeat domain-containing protein 46,Ankrd46,1086800
Q8BTZ7,Mannose-1-phosphate guanyltransferase beta,Gmppb,257470000
Q8BU14,Translocation protein SEC62,Sec62,64220000
Q8BU30,"Isoleucine--tRNA ligase, cytoplasmic",Iars,448170000
Q8BU31,Ras-related protein Rap-2c,Rap2c,46411000
Q8BU33;Q8BU33-3;Q8BU33-2,Acetolactate synthase-like protein,Ilvbl,87272000
Q8BU88,"39S ribosomal protein L22, mitochondrial",Mrpl22,10156000
Q8BUE4;Q8BUE4-2,Apoptosis-inducing factor 2,Aifm2,31533000
Q8BUK6,Protein Hook homolog 3,Hook3,109160000
Q8BUV3,Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase,Gphn,959660000
Q8BUY5,"Complex I assembly factor TIMMDC1, mitochondrial",Timmdc1,7063000
Q8BUY9,Geranylgeranyl transferase type-1 subunit beta,Pggt1b,6804000
Q8BV13,COP9 signalosome complex subunit 7b,Cops7b,12837000
Q8BV49,Pyrin and HIN domain-containing protein 1,Pyhin1,6611800
Q8BVA5;Q8BVA5-2;Q8BVA5-3;Q8BVA5-4,UPF0554 protein C2orf43 homolog,,88999000
Q8BVE3,V-type proton ATPase subunit H,Atp6v1h,126380000
Q8BVF2,Phosducin-like protein 3,Pdcl3,8903700
Q8BVG4;Q8BVG4-2,Dipeptidyl peptidase 9,Dpp9,125110000
Q8BVI4,Dihydropteridine reductase,Qdpr,12507000000
Q8BVQ5,Protein phosphatase methylesterase 1,Ppme1,72839000
Q8BVU5,"ADP-ribose pyrophosphatase, mitochondrial",Nudt9,49965000
Q8BVW0;Q8BVW0-2,Neutral alpha-glucosidase C,Ganc,55475000
Q8BVW3;Q8BVW3-2;Q8BVW3-3,Tripartite motif-containing protein 14,Trim14,46179000
Q8BVY0,Ribosomal L1 domain-containing protein 1,Rsl1d1,21360000
Q8BVZ1-2;Q8BVZ1,Perilipin-5,Plin5,19818000
Q8BW75,Amine oxidase [flavin-containing] B,Maob,8575900000
Q8BWF0,"Succinate-semialdehyde dehydrogenase, mitochondrial",Aldh5a1,2393000000
Q8BWG8-2;Q8BWG8,Beta-arrestin-1,Arrb1,23294000
Q8BWJ3,"Phosphorylase b kinase regulatory subunit alpha, liver isoform",Phka2,139390000
Q8BWM0,Prostaglandin E synthase 2;Prostaglandin E synthase 2 truncated form,Ptges2,361870000
Q8BWN8,Acyl-coenzyme A thioesterase 4,Acot4,2988800000
Q8BWP5;REV__Q7TQF2,Alpha-tocopherol transfer protein,Ttpa,1506300000
Q8BWQ1,UDP-glucuronosyltransferase 2A3,Ugt2a3,2432600000
Q8BWQ6-3;Q8BWQ6,UPF0505 protein C16orf62 homolog,,4597500
Q8BWR4-3;Q8BWR4;Q8BWR4-2;Q8BWR4-4,Ubiquitin carboxyl-terminal hydrolase 40,Usp40,9320100
Q8BWS5,G protein-regulated inducer of neurite outgrowth 3,Gprin3,7588200
Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial",Acaa2,80444000000
Q8BWU5,Probable tRNA N6-adenosine threonylcarbamoyltransferase,Osgep,20762000
Q8BWU8,Ethanolamine-phosphate phospho-lyase,Etnppl,812130000
Q8BWW4,La-related protein 4,Larp4,81925000
Q8BWW9-3;Q8BWW9-2;Q8BWW9,Serine/threonine-protein kinase N2,Pkn2,9859100
Q8BWY3,Eukaryotic peptide chain release factor subunit 1,Etf1,265650000
Q8BWZ3-2;Q8BWZ3,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",Naa25,3263600
Q8BX02;Q8BX02-2,KN motif and ankyrin repeat domain-containing protein 2,Kank2,102310000
Q8BX09-2;Q8BX09,Retinoblastoma-binding protein 5,Rbbp5,3474000
Q8BX70-2;Q8BX70-3;Q8BX70,Vacuolar protein sorting-associated protein 13C,Vps13c,117070000
Q8BX90,Fibronectin type-III domain-containing protein 3A,Fndc3a,30451000
Q8BXA1,Golgi integral membrane protein 4,Golim4,28925000
Q8BXA5,Cleft lip and palate transmembrane protein 1-like protein,Clptm1l,7033600
Q8BXB6,Solute carrier organic anion transporter family member 2B1,Slco2b1,123320000
Q8BXC6,COMM domain-containing protein 2,Commd2,26270000
Q8BXN7,"Protein phosphatase 1K, mitochondrial",Ppm1k,34399000
Q8BXR9-2;Q8BXR9,Oxysterol-binding protein-related protein 6,Osbpl6,0
Q8BY87-2;Q8BY87,Ubiquitin carboxyl-terminal hydrolase 47,Usp47,179560000
Q8BY89-2;Q8BY89,Choline transporter-like protein 2,Slc44a2,0
Q8BYA0,Tubulin-specific chaperone D,Tbcd,97542000
Q8BYB9,Protein O-glucosyltransferase 1,Poglut1,11167000
Q8BYC6,Serine/threonine-protein kinase TAO3,Taok3,139860000
Q8BYH7,TBC1 domain family member 17,Tbc1d17,5168100
Q8BYK6;Q8BYK6-2;Q8BYK6-3,YTH domain-containing family protein 3,Ythdf3,53118000
Q8BYL4,"Tyrosine--tRNA ligase, mitochondrial",Yars2,95444000
Q8BYM8,"Probable cysteine--tRNA ligase, mitochondrial",Cars2,22176000
Q8BYN3,Inositol-tetrakisphosphate 1-kinase,Itpk1,12958000
Q8BYU6,Torsin-1A-interacting protein 2,Tor1aip2,44812000
Q8BYY4;Q8BYY4-2;Q8BYY4-3,Tetratricopeptide repeat protein 39B,Ttc39b,12913000
Q8BYZ7-2;Q8BYZ7,Engulfment and cell motility protein 3,Elmo3,9847200
Q8BZ00,Sodium/hydrogen exchanger 9,Slc9a9,5198600
Q8BZ09,Mitochondrial 2-oxodicarboxylate carrier,Slc25a21,49946000
Q8BZ36-2;Q8BZ36,RAD50-interacting protein 1,Rint1,4593500
Q8BZ98-2;Q8BZ98,Dynamin-3,Dnm3,89757000
Q8BZA9,"Fructose-2,6-bisphosphatase TIGAR",Tigar,8580100
Q8BZB2,Phosphopantothenoylcysteine decarboxylase,Ppcdc,11680000
Q8BZF8,Phosphoglucomutase-like protein 5,Pgm5,1114500
Q8BZR9,Uncharacterized protein C17orf85 homolog,,0
Q8BZW8,NHL repeat-containing protein 2,Nhlrc2,222200000
Q8BZX4-2,,,8232500
Q8C052,Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain,Map1s,3584400
Q8C079-3;Q8C079;Q8C079-2;Q8C079-4,Striatin-interacting protein 1,Strip1,8294700
Q8C0C7,Phenylalanine--tRNA ligase alpha subunit,Farsa,658550000
Q8C0D4,Rho GTPase-activating protein 12,Arhgap12,30132000
Q8C0D5,Elongation factor Tu GTP-binding domain-containing protein 1,Eftud1,72425000
Q8C0D7-4;Q8C0D7-5;Q8C0D7-3;Q8C0D7-2;Q8C0D7,Inhibitor of growth protein 4,Ing4,229460000
Q8C0E2;Q8C0E2-2,Vacuolar protein sorting-associated protein 26B,Vps26b,32836000
Q8C0I1,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",Agps,6674400
Q8C0J2-4;Q8C0J2-2;Q8C0J2-5;Q8C0J2;Q8C0J2-3,Autophagy-related protein 16-1,Atg16l1,23542000
Q8C0K5,Graves disease carrier protein homolog,Slc25a16,9121500
Q8C0L8,Conserved oligomeric Golgi complex subunit 5,Cog5,28659000
Q8C0L9;Q8C0L9-2;Q8C0L9-3,Glycerophosphocholine phosphodiesterase GPCPD1,Gpcpd1,34855000
Q8C0M9,Isoaspartyl peptidase/L-asparaginase;Isoaspartyl peptidase/L-asparaginase alpha chain;Isoaspartyl peptidase/L-asparaginase beta chain,Asrgl1,83083000
Q8C0N2,Glycerol-3-phosphate acyltransferase 3,Agpat9,10887000
Q8C0Z1,Protein ITFG3,Itfg3,7211200
Q8C129,Leucyl-cystinyl aminopeptidase,Lnpep,46701000
Q8C142,Low density lipoprotein receptor adapter protein 1,Ldlrap1,6799200
Q8C147;Q8C147-2,Dedicator of cytokinesis protein 8,Dock8,1062800
Q8C165,Probable carboxypeptidase PM20D1,Pm20d1,1131300000
Q8C166,Copine-1,Cpne1,237960000
Q8C196,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",Cps1,6.94E+11
Q8C1A5,Thimet oligopeptidase,Thop1,189920000
Q8C1B7-3;Q8C1B7-2;Q8C1B7,Septin-11,09-11-2025,153350000
Q8C1D8,Protein IWS1 homolog,Iws1,6106300
Q8C1E7,Transmembrane protein 120A,Tmem120a,10531000
Q8C2E7;Q8C2E7-2,WASH complex subunit strumpellin,Kiaa0196,11638000
Q8C2P3,tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like,Dus1l,2469400
Q8C2Q3;Q8C2Q3-2,RNA-binding protein 14,Rbm14,196090000
Q8C3J5,Dedicator of cytokinesis protein 2,Dock2,3065300
Q8C3X2;Q8C3X2-2,"Coiled-coil domain-containing protein 90B, mitochondrial",Ccdc90b,19354000
Q8C3X4-2;Q8C3X4,"Translation factor Guf1, mitochondrial",Guf1,5744400
Q8C3X8,Lipase maturation factor 2,Lmf2,27014000
Q8C4B4,Protein unc-119 homolog B,Unc119b,3626800
Q8C4X2,Casein kinase I isoform gamma-3,Csnk1g3,2984400
Q8C4Y3,Negative elongation factor B,Nelfb,1984800
Q8C525,Protein MB21D2,Mb21d2,463750
Q8C547-3;Q8C547-2;Q8C547,HEAT repeat-containing protein 5B,Heatr5b,7621900
Q8C570,mRNA export factor,Rae1,106110000
Q8C5H8,"NAD kinase 2, mitochondrial",Nadk2,1396800000
Q8C5H8-2;Q8C5H8-3;Q8C5H8-4,"NAD kinase 2, mitochondrial",Nadk2,22284000
Q8C5N3-2;Q8C5N3,Pre-mRNA-splicing factor CWC22 homolog,Cwc22,7062400
Q8C5P5-2;Q8C5P5,5-nucleotidase domain-containing protein 1,Nt5dc1,28440000
Q8C5P7,Testis development-related protein,Tdrp,2490900
Q8C5Q4,G-rich sequence factor 1,Grsf1,26001000
Q8C5V8,,4932418E24Rik,3924200
Q8C5W0-2;Q8C5W0-3;Q8C5W0-4;Q8C5W0,Calmin,Clmn,82072000
Q8C5W3;Q8C5W3-2,Tubulin-specific chaperone cofactor E-like protein,Tbcel,435990000
Q8C650-2;Q8C650;Q9DA97,Septin-10,09-10-2025,83084000
Q8C6G8,WD repeat-containing protein 26,Wdr26,33619000
Q8C6I2;Q8C6I2-3;Q8C6I2-2,"Succinate dehydrogenase assembly factor 2, mitochondrial",Sdhaf2,20751000
Q8C6K9;Q8C6K9-2;A6H584,Collagen alpha-6(VI) chain;Collagen alpha-5(VI) chain,Col6a6;Col6a5,7233400
Q8C767,Protein phosphatase 1 regulatory subunit 3B,Ppp1r3b,20562000
Q8C7E7,Starch-binding domain-containing protein 1,Stbd1,315510000
Q8C7G5,Apolipoprotein A-V,Apoa5,214220000
Q8C7H1,"Methylmalonic aciduria type A homolog, mitochondrial",Mmaa,146670000
Q8C7R4,Ubiquitin-like modifier-activating enzyme 6,Uba6,83962000
Q8C7V3,U3 small nucleolar RNA-associated protein 15 homolog,Utp15,2138300
Q8C7X2-2;Q8C7X2;Q8C7X2-3,ER membrane protein complex subunit 1,Emc1,144580000
Q8C854-2;Q8C854-3;Q8C854;Q8C854-1,Myelin expression factor 2,Myef2,11837000
Q8C863-2;Q8C863,E3 ubiquitin-protein ligase Itchy,Itch,7658900
Q8C878;Q8C878-2,NEDD8-activating enzyme E1 catalytic subunit,Uba3,186130000
Q8C8T8,Pre-rRNA-processing protein TSR2 homolog,Tsr2,28254000
Q8C8U0;Q8C8U0-3;Q8C8U0-2,Liprin-beta-1,Ppfibp1,28721000
Q8C9B9;Q8C9B9-3;Q8C9B9-2,Death-inducer obliterator 1,Dido1,9417600
Q8CAA7,"Glucose 1,6-bisphosphate synthase",Pgm2l1,3332400
Q8CAK1,"Putative transferase CAF17 homolog, mitochondrial",Iba57,193370000
Q8CAL5,Glypican-5;Secreted glypican-5,Gpc5,2094200
Q8CAQ8-2;Q8CAQ8;Q8CAQ8-5;Q8CAQ8-4,MICOS complex subunit Mic60,Immt,3402100000
Q8CAQ8-3,MICOS complex subunit Mic60,Immt,82491000
Q8CAS9-2;Q8CAS9;Q8CAS9-3,Poly [ADP-ribose] polymerase 9,Parp9,355840000
Q8CAY6,"Acetyl-CoA acetyltransferase, cytosolic",Acat2,13850000000
Q8CB77,Transcription elongation factor B polypeptide 3,Tceb3,17068000
Q8CBW3-5;Q8CBW3-2;Q8CBW3-4;Q8CBW3-3;Q8CBW3,Abl interactor 1,Abi1,57480000
Q8CBY0,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",Gatc,4208800
Q8CBY8-2;Q8CBY8,Dynactin subunit 4,Dctn4,47939000
Q8CC21-2;Q8CC21,"Tetratricopeptide repeat protein 19, mitochondrial",Ttc19,709500
Q8CC35-3;Q8CC35-2;Q8CC35,Synaptopodin,Synpo,4187800
Q8CC86,Nicotinate phosphoribosyltransferase,Naprt,3151000000
Q8CC88;Q8CC88-2;Q8CC88-3,von Willebrand factor A domain-containing protein 8,Vwa8,3420600000
Q8CCF0;Q8CCF0-2,U4/U6 small nuclear ribonucleoprotein Prp31,Prpf31,101490000
Q8CCJ3;Q8CCJ3-1;Q8CCJ3-2;P70188-2;P70188,E3 UFM1-protein ligase 1,Ufl1,340980000
Q8CCM6-2,,,20995000
Q8CCN5-2;Q8CCN5,Breast carcinoma-amplified sequence 3 homolog,Bcas3,6637200
Q8CCS6-2;Q8CCS6,Polyadenylate-binding protein 2,Pabpn1,65446000
Q8CD15,Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA,Mina,16188000
Q8CD92-2;Q8CD92,Tetratricopeptide repeat protein 27,Ttc27,3973500
Q8CDA1-3;Q8CDA1-2;Q8CDA1,Phosphatidylinositide phosphatase SAC2,Inpp5f,4902000
Q8CDD8-2;Q8CDD8,BTB/POZ domain-containing protein KCTD20,Kctd20,447210000
Q8CDG3-2;Q8CDG3,Deubiquitinating protein VCIP135,Vcpip1,42799000
Q8CDM8;Q8CDM8-2,Protein FAM160B1,Fam160b1,28494000
Q8CDN6,Thioredoxin-like protein 1,Txnl1,796180000
Q8CE96-3;Q8CE96,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,Trmt6,10014000
Q8CEC0-3;Q8CEC0-2;Q8CEC0,Nuclear pore complex protein Nup88,Nup88,9961000
Q8CEC6,Peptidylprolyl isomerase domain and WD repeat-containing protein 1,Ppwd1,2936300
Q8CEE7,Retinol dehydrogenase 13,Rdh13,14963000
Q8CEI1,BolA-like protein 3,Bola3,150680000
Q8CES0,N-alpha-acetyltransferase 30,Naa30,5590200
Q8CF02,Protein FAM25C,Fam25c,9975800
Q8CF89,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,Tab1,1995000
Q8CFA2,"Aminomethyltransferase, mitochondrial",Amt,1761400000
Q8CFE4;Q8CFE4-2,SCY1-like protein 2,Scyl2,24357000
Q8CFI0-3;Q8CFI0;Q8CFI0-2,E3 ubiquitin-protein ligase NEDD4-like,Nedd4l,39009000
Q8CFI5,"Probable proline--tRNA ligase, mitochondrial",Pars2,11877000
Q8CFI7,DNA-directed RNA polymerase II subunit RPB2,Polr2b,18707000
Q8CFJ7;Q8CFJ7-2,Solute carrier family 25 member 45,Slc25a45,46512000
Q8CFQ3,Intron-binding protein aquarius,Aqr,0
Q8CFV4,Neuritin,Nrn1,14494000
Q8CFV9,Riboflavin kinase,Rfk,55018000
Q8CFX1,GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase,H6pd,1104800000
Q8CG14;Q8CFG8,Complement C1s-A subcomponent;Complement C1s-A subcomponent heavy chain;Complement C1s-A subcomponent light chain;Complement C1s-B subcomponent;Complement C1s-B subcomponent heavy chain;Complement C1s-B subcomponent light chain,C1sa;C1sb,29003000
Q8CG50,Ras-related protein Rab-43,Rab43,12258000
Q8CG72;Q8CG72-2,Poly(ADP-ribose) glycohydrolase ARH3,Adprhl2,51436000
Q8CG76,Aflatoxin B1 aldehyde reductase member 2,Akr7a2,4995500000
Q8CGA0,Protein phosphatase 1F,Ppm1f,69244000
Q8CGB6-2;Q8CGB6-4;Q8CGB6;Q8CGB6-3,Tensin-2,Tns2,182480000
Q8CGC7,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,Eprs,3585100000
Q8CGF7-2;Q8CGF7;Q8CGF7-3;Q3B807-3;Q3B807,Transcription elongation regulator 1,Tcerg1,65027000
Q8CGK3,"Lon protease homolog, mitochondrial",Lonp1,3254300000
Q8CGN5;Q8CGN5-2;Q8CGN5-3;Q8CGN5-4,Perilipin-1,Plin1,90489000
Q9D2U9;Q8CGP0;Q64524,Histone H2B type 3-A;Histone H2B type 3-B;Histone H2B type 2-E,Hist3h2ba;Hist3h2bb;Hist2h2be,22925000
Q8CGR7,Uridine phosphorylase 2,Upp2,85742000
Q8CGU1,Calcium-binding and coiled-coil domain-containing protein 1,Calcoco1,12148000
Q8CGY8-2;Q8CGY8,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,Ogt,89092000
Q8CGZ0,Calcium homeostasis endoplasmic reticulum protein,Cherp,63457000
Q8CH02,SURP and G-patch domain-containing protein 1,Sugp1,899100
